"","focal","competitor","treatment","alpha","alpha_sd","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"18","URLI","HOMU",1,0.140581199187237,0.337269963346044,0.0540259919035562,0.437408505014233,89.4550018994279,63.7693558488513,162.410077364461,0.65825253535692,0.420667741417316,0.815919741841755,3.18005263656305,1.3067339641234,7.03122286767844,"URLI_HOMU"
"19","ACWR","PLER",1,0.559064558881658,0.304562205795676,0.358662504020581,0.908006557377578,2199.20126197249,1598.43782277783,3094.59224766217,0.372531362390095,0.201024844322827,0.50294278428901,1.76480736913483,1.36571185092489,2.32304700134573,"ACWR_PLER"
"20","FEMI","PLER",1,0.664350309474155,0.200582993144833,0.486994458076047,0.879695424231909,2129.94961306718,1639.42747925703,2650.90122423196,-0.0769886109010705,-0.320162376730568,0.11863977431643,0.460393827135913,0.373748214454898,0.56829001064406,"FEMI_PLER"
"21","HOMU","PLER",1,0.159951409176683,0.0618677038108904,0.111000314585342,0.22668220537322,736.667017857429,630.864368849537,860.788594745433,0.356985387539084,0.195193989930738,0.489845036251545,0.618896698785711,0.49378662846564,0.761371807750873,"HOMU_PLER"
"22","PLER","PLER",1,0.416149538596863,0.122031251833807,0.308051700726223,0.551835790672102,637.788304940562,506.313326568219,802.943783421892,0,0,0,1,1,1,"PLER_PLER"
"23","SACO","PLER",1,0.435221184846191,0.229166614745044,0.256927257005804,0.680722131735507,1023.58416466961,665.710891051902,1408.55743962513,0.769869075629567,0.695256360998433,0.848624296570079,5.3215326419861,3.76881948056203,7.79242146140603,"SACO_PLER"
"24","URLI","PLER",1,0.0303179634960609,0.0587176832163258,0.0138730368691947,0.0819513575751135,89.4550018994279,63.7693558488513,162.410077364461,0.679085858442903,0.485836597156491,0.808391276191983,1.74332763850808,0.873870176223156,3.45272902180326,"URLI_PLER"
"25","ACWR","SACO",1,0.0179254783475451,0.0142132549214589,0.00789594492536736,0.0342978400601,2199.20126197249,1598.43782277783,3094.59224766217,0.766449693661646,0.664508651068946,0.84572190506584,0.343672705791471,0.221977261610624,0.510762706513054,"ACWR_SACO"
"26","FEMI","SACO",1,0.116013153723541,0.0556591841085977,0.0720712704255083,0.173930850077695,2129.94961306718,1639.42747925703,2650.90122423196,0.367699485773033,0.206239074655132,0.48688375952159,0.334138710624636,0.260668609941297,0.415913301495832,"FEMI_SACO"
"27","HOMU","SACO",1,0.0309493381074156,0.011644460750542,0.0213214964416426,0.0437031625765683,736.667017857429,630.864368849537,860.788594745433,0.558201004592839,0.453524795012343,0.649734838433659,0.419695012295543,0.337011204037133,0.529308869655233,"HOMU_SACO"
"28","PLER","SACO",1,0.00744175105944122,0.00640504744652182,0.00302290346752747,0.0145846789475319,637.788304940562,506.313326568219,802.943783421892,0.769869075629567,0.695256360998433,0.848624296570079,0.187916023893002,0.12832989544879,0.265335075158353,"PLER_SACO"
"29","SACO","SACO",1,0.152118026141009,0.0658756818572339,0.0935300328578978,0.2240802313507,1023.58416466961,665.710891051902,1408.55743962513,0,0,0,1,1,1,"SACO_SACO"
"30","URLI","SACO",1,0.0389140348240174,0.0493620106429636,0.0230945818330792,0.0806067113733568,89.4550018994279,63.7693558488513,162.410077364461,0.406927427591671,-0.0228078559207615,0.674302445078843,2.92221808350009,1.55396225044931,5.39681415378625,"URLI_SACO"
"31","ACWR","URLI",1,0.0288810207579633,0.022470088091893,0.0156647158196536,0.0549983770599314,2199.20126197249,1598.43782277783,3094.59224766217,0.436229477218971,0.179738307266328,0.59264530532353,0.376467228200325,0.206634824427034,0.800726291527333,"ACWR_URLI"
"32","FEMI","URLI",1,0.0637525311055956,0.0282605300313463,0.0399720169608192,0.0955743452196089,2129.94961306718,1639.42747925703,2650.90122423196,0.3877881152964,0.0512906408478837,0.545495028955468,0.283809419449454,0.171902829687147,0.517881964591006,"FEMI_URLI"
"33","HOMU","URLI",1,0.0129369290043311,0.0143937381808374,0.00344824278278731,0.0289332949513863,736.667017857429,630.864368849537,860.788594745433,0.65825253535692,0.420667741417316,0.815919741841755,0.314460614836321,0.142223649653411,0.765266716763924,"HOMU_URLI"
"34","PLER","URLI",1,0.0219086052452631,0.0180463696272585,0.00765435726249849,0.0404470754296165,637.788304940562,506.313326568219,802.943783421892,0.679085858442903,0.485836597156491,0.808391276191983,0.573617310636969,0.289626049128244,1.14433499994693,"PLER_URLI"
"35","SACO","URLI",1,0.0215596887030749,0.0188576964014366,0.00652623488967699,0.0434670031255108,1023.58416466961,665.710891051902,1408.55743962513,0.406927427591671,-0.0228078559207615,0.674302445078843,0.342206115167691,0.185294521821588,0.643516309307339,"SACO_URLI"
"36","URLI","URLI",1,0.0143458984939485,0.0473875488721844,0.00412080746863292,0.0544926688564163,89.4550018994279,63.7693558488513,162.410077364461,0,0,0,1,1,1,"URLI_URLI"
"37","ACWR","ACWR",2,0.37352353522301,0.162302853039175,0.255349950909712,0.564966497103083,1781.16162398266,1330.41170852512,2373.05380160847,0,0,0,1,1,1,"ACWR_ACWR"
"38","FEMI","ACWR",2,0.0597269233773814,0.0816073126550045,0.0202029118171509,0.142520815559724,591.870621996925,487.209649609998,725.297668060522,0.454881456588651,0.130178838930967,0.705632812381524,0.305322184521495,0.173917730817336,0.51143014705854,"FEMI_ACWR"
"39","HOMU","ACWR",2,0.147181309555414,0.130463055184756,0.0646685226991957,0.302904514825925,612.054185774003,494.209949999846,756.06894689157,0.0333156089220676,-0.379677442843463,0.363517867764009,0.492639727970594,0.322736273234944,0.707976917701352,"HOMU_ACWR"
"40","PLER","ACWR",2,0.239371677904901,0.135064359433364,0.166190198595847,0.384109051170481,683.656516855899,596.940143789441,771.606443010576,0.568368718906144,0.427662633838378,0.677514708621357,1.40744409540972,1.04315492131208,1.87912204392745,"PLER_ACWR"
"41","SACO","ACWR",2,0.306387447678958,0.228222487520236,0.152614593425793,0.569684545924863,543.969440496634,318.354797421569,856.379227646948,0.705153881656384,0.587797784819477,0.812513574465631,5.67704480236584,3.89698569295183,9.52545645017306,"SACO_ACWR"
"42","URLI","ACWR",2,0.0281205370389009,0.0143194861282291,0.0163195845829213,0.0434390689250625,74.7716798774031,62.7042433070454,89.0097525366681,0.855834663995257,0.787316128838123,0.915378765271687,4.48167023021153,2.91890278544559,7.86120720249977,"URLI_ACWR"
