"","species","treatment","omega","theta","outcome","no_sp"
"54","PL-SA",2,0.714643162739828,17.6213261994629,1,2
"55","UR-SA",2,0.166660305471008,3.33376050386001,1,2
"56","AC-UR",2,0.75834711123982,32.1796403485708,1,2
"57","FE-UR",2,0.861016092939929,38.5743261109548,1,2
"58","HO-UR",2,0.530762315742339,31.146420817894,0,2
"59","PL-UR",2,0.48968450016871,17.5977529259946,1,2
"60","SA-UR",2,0.166660305471008,3.33376050386001,1,2
"61","AC-FE-HO",1,0.0346717889799417,13.0559685517943,0,3
"62","AC-FE-PL",1,0.0126207920008548,17.37590820103,0,3
"63","AC-FE-SA",1,0.0657832971921308,21.1150058289969,0,3
"64","AC-FE-UR",1,0.016451996741196,11.560520681477,0,3
"65","AC-HO-PL",1,0.0499392644283867,8.80713597696553,1,3
"66","AC-HO-SA",1,0.0712492495951963,16.1176660627156,0,3
"67","AC-HO-UR",1,0.0284383420363436,10.6310877973886,0,3
"68","AC-PL-SA",1,0.0924014117210474,20.1833999150832,0,3
"69","AC-PL-UR",1,0.0361217603964748,11.2168019704962,0,3
"70","AC-SA-UR",1,0.0625756520390389,16.6902404508239,0,3
"71","FE-HO-PL",1,0.00825544587519123,16.8836639360215,0,3
"72","FE-HO-SA",1,0.0470847252365644,21.8914051711667,0,3
"73","FE-HO-UR",1,0.0173253260207288,5.72972084379915,0,3
"74","FE-PL-SA",1,0.000182541850121703,22.57363550419,0,3
"75","FE-PL-UR",1,0.00673899794581051,12.6675866495948,0,3
"76","FE-SA-UR",1,0.0248295405104174,19.0873027944116,0,3
"77","HO-PL-SA",1,0.0807579960694263,20.9611693548196,0,3
"78","HO-PL-UR",1,0.0529070430486839,14.8789185758468,0,3
"79","HO-SA-UR",1,0.064835344158191,20.9965015399097,0,3
"80","PL-SA-UR",1,0.0910601398103626,19.4640216442723,0,3
"81","AC-FE-HO",2,0.0277620749720488,23.6367762389325,0,3
"82","AC-FE-PL",2,0.0706047090738266,18.0462811512593,0,3
"83","AC-FE-SA",2,0.0654449248635251,36.45350034871,0,3
"84","AC-FE-UR",2,0.140740432398295,31.0282424076642,0,3
"85","AC-HO-PL",2,0.000183992890203088,15.8673797412631,0,3
"86","AC-HO-SA",2,0.00961807256705532,30.278363113369,0,3
"87","AC-HO-UR",2,0.00371672499615719,20.536137247849,0,3
"88","AC-PL-SA",2,0.209944919302985,23.7791306631083,0,3
"89","AC-PL-UR",2,0.184631166619138,16.7939785334797,1,3
"90","AC-SA-UR",2,0.0685930495426658,43.2334553041914,0,3
"91","FE-HO-PL",2,0.0241427390535793,23.5712168491108,0,3
"92","FE-HO-SA",2,0.0448433758919043,38.908313793995,0,3
