"","focal","competitor","treat","alpha","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"11","SACO","FEMI","D",0.372041661031775,0.205805444568609,0.636230894257973,550.616111507362,343.497682714459,852.110740381374,0.514306085335003,0.331240082426545,0.651105367923023,6.27470763061661,4.64139520168046,8.82301579027023,"SACO_FEMI"
"12","URLI","FEMI","D",0.0261696179208564,0.0144821164778819,0.0419324556042721,73.6306287545226,62.1358723877844,87.9520034010974,0.89464744561058,0.805965647741251,0.933986177839011,8.71424175574039,4.66395072827357,14.3533144547008,"URLI_FEMI"
"13","ACWR","HOMU","D",0.938084582172993,0.643193805185198,1.36524129619334,1726.88719047383,1303.75484399812,2365.15295668909,0.0741838127683542,-0.290101813193954,0.395724037087622,2.05602174395982,1.41662977424697,3.31223639848627,"ACWR_HOMU"
"14","FEMI","HOMU","D",0.560360402358794,0.400213376755507,0.795860859007729,583.082239378668,486.01120785234,724.252957846795,0.435087311658366,0.30467765525849,0.542829602480679,2.15300573532578,1.77288178281965,2.69439288814212,"FEMI_HOMU"
"15","HOMU","HOMU","D",0.413292570262381,0.305187751032959,0.567936400354878,615.615815149793,489.134914217808,765.363402988458,0,0,0,1,1,1,"HOMU_HOMU"
"16","PLER","HOMU","D",1.24969866997855,0.992894263215196,1.57291185122621,682.423943161771,590.0845818886,767.215301089695,0.326327426049412,0.203862525830155,0.423420385979418,3.39322887439199,2.87784731223819,4.01577768022629,"PLER_HOMU"
"17","SACO","HOMU","D",0.68071207391054,0.355668709202958,1.24119816629839,550.616111507362,343.497682714459,852.110740381374,0.39143879600124,0.187421413464942,0.547332200172817,4.54395382044592,3.31806448997118,6.18602218184707,"SACO_HOMU"
"18","URLI","HOMU","D",0.10503775409994,0.0623853049060828,0.169803787329772,73.6306287545226,62.1358723877844,87.9520034010974,0.625206426983492,0.371778089114597,0.750232794353248,4.95958251777435,2.82050586980981,8.09491365766023,"URLI_HOMU"
"19","ACWR","PLER","D",0.29010634128848,0.185705866473827,0.443184870016414,1726.88719047383,1303.75484399812,2365.15295668909,0.583607794661953,0.436941853013297,0.677534166515394,0.724856752793974,0.551430900007494,0.957419967855502,"ACWR_PLER"
"20","FEMI","PLER","D",0.131473126194921,0.0945693842496332,0.188086415926986,583.082239378668,486.01120785234,724.252957846795,0.626254812185054,0.550936263803133,0.687154823110296,0.392906582215589,0.333611020659862,0.482348210404095,"FEMI_PLER"
